File                                                                                       Status
errorTesting/tripleTypedef_field                                                           BC generated
errorTesting/tripleTypedef_var                                                             BC generated
errorTesting/tripleTypedef_return                                                          BC generated
linking/same_type/static_only                                                              BC generated
transformation/pointer_deref2                                                              BC generated
transformation/pointer_deref1                                                              BC generated
transformation/functions/main                                                              BC generated
transformation/functions/function_declaration                                              BC generated
transformation/functions/function_call_non_void                                            BC generated
transformation/functions/config_identifier                                                 BC generated
transformation/functions/config_return_type                                                BC generated
transformation/functions/int_main                                                          BC generated
transformation/functions/void_main                                                         BC generated
transformation/functions/config_implicit_function_call                                     BC generated
transformation/functions/function_pointer                                                  BC generated
transformation/functions/config_parameters                                                 BC generated
transformation/functions/config_main_body                                                  BC generated
transformation/functions/config_explicit_function_call                                     BC generated
transformation/functions/function_call_void                                                BC generated
transformation/functions/single                                                            BC generated
transformation/functions/config_multiply_defined_parameter                                 BC generated
transformation/constructs/extern_var_multiply-defined_primitive.autodesugar                BC generated
transformation/constructs/local_var_multiply-defined_primitive.autodesugar                 BC generated
transformation/constructs/types_global_function_multiply-defined.autodesugar               SuperC failed
transformation/constructs/types_global_function_multiply-defined.autodesugar               BC failed
transformation/constructs/types_multiple_scopes.autodesugar                                BC generated
transformation/constructs/types_multiple_scopes                                            BC generated
transformation/constructs/global_function_multiply-defined.autodesugar                     BC generated
transformation/constructs/types_global_function_multiple_prototypes_same_body.autodesugar  SuperC failed
transformation/constructs/types_global_function_multiple_prototypes_same_body.autodesugar  BC failed
transformation/constructs/extern_function_multiply-defined.autodesugar                     BC generated
transformation/constructs/types_global_function_multiply-defined_pointer                   BC generated
transformation/constructs/extern_var_multiply-defined_primitive                            BC generated
transformation/constructs/types_primitive_and_compound.autodesugar                         BC generated
transformation/constructs/types_extern_function_multiply-defined.autodesugar               BC generated
transformation/constructs/types_global_function_multiply-defined                           BC generated
transformation/constructs/types_primitive_and_compound                                     BC generated
transformation/constructs/local_var_multiply-defined_primitive                             BC generated
transformation/constructs/global_function_multiple_prototypes_same_body                    BC generated
transformation/constructs/global_function_static.autodesugar                               BC generated
transformation/constructs/extern_function_multiply-defined                                 BC generated
transformation/constructs/global_function_multiple_prototypes_same_body.autodesugar        BC generated
transformation/constructs/types_function_and_extern_primitive                              BC generated
transformation/constructs/static_function_multiple_prototypes_same_body                    BC generated
transformation/constructs/types_global_function_multiply-defined_pointer.autodesugar       BC generated
transformation/constructs/types_extern_var_partially-defined                               BC generated
transformation/constructs/global_var_static                                                BC generated
transformation/constructs/global_var_static2                                               BC generated
transformation/constructs/types_global_function_multiple_prototypes_same_body              BC generated
transformation/constructs/global_function_static                                           BC generated
transformation/constructs/global_var_static.autodesugar                                    BC generated
transformation/constructs/global_function_multiply-defined                                 BC generated
transformation/constructs/struct_multiply_defined                                          BC generated
transformation/constructs/types_extern_function_multiply-defined                           BC generated
transformation/constructs/types_extern_var_partially-defined.autodesugar                   BC generated
transformation/declaringlists/main                                                         BC generated
transformation/declaringlists/all_init                                                     BC generated
transformation/declaringlists/no_init                                                      BC generated
transformation/declaringlists/config_some_init                                             BC generated
transformation/declaringlists/config_no_init                                               BC generated
transformation/declaringlists/error_conditional                                            BC generated
transformation/declaringlists/variable_expr                                                BC generated
transformation/declaringlists/config_const_conditional_error                               BC generated
transformation/declaringlists/config_const                                                 BC generated
transformation/declaringlists/error_global                                                 BC generated
transformation/declaringlists/one_init                                                     BC generated
transformation/declaringlists/some_init                                                    BC generated
transformation/declaringlists/undeclared                                                   BC generated
transformation/declaringlists/single                                                       BC generated
transformation/declaringlists/error                                                        BC generated
transformation/union/config_union_expressions                                              BC generated
transformation/union/union                                                                 BC generated
transformation/union/union_use                                                             BC generated
transformation/union/config_partially_defined_fields2                                      BC generated
transformation/union/config_union_decl                                                     BC generated
transformation/union/config_partially_defined_fields1                                      BC generated
transformation/union/config_partially_defined_union                                        BC generated
transformation/enum/enum_typedef                                                           BC generated
transformation/enum/enum_decl                                                              BC generated
transformation/enum/config_enum                                                            BC generated
transformation/enum/config_enum_field                                                      BC generated
transformation/enum/enum                                                                   BC generated
transformation/enum/config_typedef_enum                                                    BC generated
transformation/ifelsewhile/if_with_braces                                                  BC generated
transformation/ifelsewhile/while_with_braces                                               BC generated
transformation/ifelsewhile/if_no_braces                                                    BC generated
transformation/ifelsewhile/do_while                                                        BC generated
transformation/ifelsewhile/if_else_with_braces                                             BC generated
transformation/ifelsewhile/while_no_braces                                                 BC generated
transformation/ifelsewhile/explicit_config_if                                              BC generated
transformation/ifelsewhile/if_else_no_braces                                               BC generated
transformation/ifelsewhile/implicit_config_if                                              BC generated
transformation/icse19nier/icsenier2.desugared1                                             SuperC failed
transformation/icse19nier/icsenier2.desugared1                                             BC failed
transformation/icse19nier/icsenier1                                                        BC generated
transformation/icse19nier/icsenier2                                                        BC generated
transformation/icse19nier/icsenier2.desugared2                                             SuperC failed
transformation/icse19nier/icsenier2.desugared2                                             BC failed
transformation/icse19nier/icsenier3                                                        BC generated
transformation/typedef_struct/typedef_struct_no_main                                       BC generated
transformation/typedef_struct/typedef_struct                                               BC generated
transformation/typedef_struct/config_struct                                                BC generated
transformation/typedef_struct/config_field_typedef                                         BC generated
transformation/typedef_struct/config_typedef_struct_decl                                   BC generated
transformation/typedef_struct/config_typedef_field                                         BC generated
transformation/typedef_struct/config_partially_defined_struct_field                        BC generated
transformation/typedef_struct/config_typedef                                               BC generated
transformation/typedef_struct/config_partially_defined_struct                              BC generated
transformation/typedef_struct/typedef_struct_decl                                          BC generated
transformation/misc/singlevariable                                                         BC generated
transformation/misc/canonical                                                              BC generated
transformation/misc/main                                                                   BC generated
transformation/misc/twovariables.autodesugar                                               SuperC failed
transformation/misc/twovariables.autodesugar                                               BC failed
transformation/misc/inside                                                                 BC generated
transformation/misc/decl                                                                   BC generated
transformation/misc/twovariables                                                           BC generated
transformation/misc/bob                                                                    BC generated
transformation/misc/canonical_example                                                      BC generated
transformation/misc/twovariablesdifferent                                                  BC generated
transformation/misc/test                                                                   BC generated
transformation/misc/type                                                                   BC generated
transformation/misc/regular_conditional                                                    BC generated
transformation/expressions/variable_arithmetic_assignment                                  BC generated
transformation/expressions/array_variable_decl                                             BC generated
transformation/expressions/config_variable_arithmetic_assignment                           BC generated
transformation/expressions/minimal_global_car_decl                                         BC generated
transformation/expressions/variable_address                                                BC generated
transformation/expressions/arrays                                                          BC generated
transformation/expressions/array_decl                                                      BC generated
transformation/expressions/config_short_constant_arithmetic_ops                            BC generated
transformation/expressions/config_postfix                                                  BC generated
transformation/expressions/short_constant_arithmetic_ops                                   BC generated
transformation/expressions/icr_decr                                                        BC generated
transformation/expressions/array_expr_decl                                                 BC generated
transformation/expressions/short_variable_arithmetic_ops                                   BC generated
transformation/expressions/config_long_constant_arithmetic_ops                             BC generated
transformation/expressions/long_variable_arithmetic_ops                                    BC generated
transformation/expressions/array_assignment                                                BC generated
transformation/expressions/config_constant_arithmetic_assignment                           BC generated
transformation/expressions/config_short_variable_arithmetic_ops                            BC generated
transformation/expressions/config_array_decl                                               BC generated
transformation/expressions/config_var_address                                              BC generated
transformation/expressions/config_prefix                                                   BC generated
transformation/expressions/expressions                                                     BC generated
transformation/expressions/config_long_variable_arithmetic_ops                             BC generated
transformation/expressions/prefix                                                          BC generated
transformation/expressions/constant_arithmetic_assignment                                  BC generated
transformation/expressions/postfix                                                         BC generated
transformation/expressions/long_constant_arithmetic_ops                                    BC generated
transformation/expressions/config_arr_assignment                                           BC generated
transformation/phasar/linear_constant/basic_03_resugared                                   BC generated
transformation/phasar/linear_constant/loop_01                                              BC generated
transformation/phasar/linear_constant/call_01                                              BC generated
transformation/phasar/linear_constant/basic_03                                             BC generated
transformation/phasar/linear_constant/basic_04_resugared                                   BC generated
transformation/phasar/linear_constant/basic_01                                             BC generated
transformation/phasar/linear_constant/twovariables.desugared_resugared                     BC generated
transformation/phasar/linear_constant/recursion_01                                         BC generated
transformation/phasar/linear_constant/basic_01_resugared                                   BC generated
transformation/phasar/linear_constant/basic_02                                             BC generated
transformation/phasar/linear_constant/loop_01_resugared                                    BC generated
transformation/phasar/linear_constant/recursion_01_resugared                               BC generated
transformation/phasar/linear_constant/call_01_resugared                                    BC generated
transformation/phasar/linear_constant/basic_02_resugared                                   BC generated
transformation/phasar/linear_constant/basic_04                                             BC generated
transformation/phasar/secure_memory/memory1                                                SuperC failed
transformation/phasar/secure_memory/memory1                                                BC failed
transformation/phasar/secure_memory/memory1_resugared                                      SuperC failed
transformation/phasar/secure_memory/memory1_resugared                                      BC failed
transformation/phasar/secure_memory/memory1_2                                              SuperC failed
transformation/phasar/secure_memory/memory1_2                                              BC failed
transformation/phasar/secure_memory/memory1_resugared_decls_added                          BC generated
transformation/phasar/secure_memory/memory1_2_resugared_decls_added                        BC generated
transformation/phasar/secure_memory/memory1_2_resugared                                    SuperC failed
transformation/phasar/secure_memory/memory1_2_resugared                                    BC failed
